iter	Passed	Remaining
0	492	14780714
1	1065	15977865
2	1619	16190465
3	2176	16318804
4	2698	16185968
5	3260	16299726
6	3765	16134930
7	4256	15958550
8	4815	16046987
9	5325	15972230
10	5862	15982359
11	6416	16035868
12	6948	16029131
13	7467	15994630
14	7997	15987245
15	8507	15943623
16	9021	15911212
17	9550	15908429
18	10068	15887872
19	10612	15908372
20	11132	15892604
21	11655	15881790
22	12160	15849199
23	12713	15879713
24	13274	15916148
25	13823	15936076
26	14383	15966927
27	14882	15930322
28	15412	15928558
29	15963	15947740
30	16490	15941826
31	16985	15906823
32	17530	15919192
33	18037	15897659
34	18526	15861409
35	19045	15851814
36	19558	15838840
37	20073	15827601
38	20628	15847633
39	21173	15858701
40	21728	15877401
41	22243	15865701
42	22756	15854213
43	23251	15830203
44	23782	15830885
45	24373	15871685
46	24899	15868144
47	25456	15885137
48	25998	15891480
49	26554	15906293
50	27084	15905186
51	27642	15920004
52	28170	15917228
53	28739	15937395
54	29298	15951892
55	29818	15944639
56	30350	15943724
57	30898	15951009
58	31400	15934846
59	31896	15916354
60	32420	15911982
61	33007	15938198
62	33511	15924119
63	34094	15947769
64	34582	15926591
65	35110	15924187
66	35635	15920570
67	36223	15944750
68	36797	15962117
69	37313	15954368
70	37848	15954306
71	38361	15945416
72	38925	15957850
73	39474	15963508
74	40046	15978734
75	40635	15999630
76	41204	16012395
77	41701	15997162
78	42232	15995301
79	42800	16007359
80	44105	16291220
81	44983	16412328
82	45569	16425373
83	46101	16418680
84	46670	16425381
85	47212	16422375
86	47747	16416898
87	48290	16414383
88	48818	16406881
89	49354	16401988
90	49895	16399190
91	50476	16409234
92	50997	16399849
93	51569	16406681
94	52130	16410275
95	52716	16421169
96	53290	16428330
97	54667	16680402
98	55202	16672865
99	55744	16667581
100	56245	16650381
101	56783	16644174
102	57365	16650972
103	57937	16654799
104	58573	16676732
105	59100	16667410
106	59713	16682462
107	60282	16684725
108	60866	16691331
109	61407	16686173
110	61979	16689192
111	62547	16691314
