iter	MAE	RMSE
0	11.66346396	11.67015121
1	11.31398867	11.32078187
2	10.97518111	10.98215246
3	10.64649161	10.65367205
4	10.32758953	10.33495068
5	10.0185205	10.02603346
6	9.718735032	9.726394604
7	9.427247109	9.435100833
8	9.144796875	9.152851812
9	8.871011787	8.87924373
10	8.605472466	8.613886982
11	8.34775868	8.35632749
12	8.098003232	8.106792542
13	7.85585545	7.864829977
14	7.620729955	7.629968649
15	7.393011357	7.402525791
16	7.171544078	7.181169999
17	6.956575457	6.966322426
18	6.747808831	6.757671079
19	6.545800043	6.555746619
20	6.349821939	6.360048416
21	6.159816758	6.170352454
22	5.975558791	5.986394831
23	5.796612366	5.807771767
24	5.623339774	5.634834187
25	5.455106351	5.466818963
26	5.29200072	5.304027184
27	5.133718698	5.146084469
28	4.979755992	4.992347492
29	4.830877831	4.843829958
30	4.685658515	4.698733349
31	4.545681544	4.559089599
32	4.409492307	4.423118155
33	4.277574663	4.29150282
34	4.149946848	4.164112006
35	4.025820432	4.040406916
36	3.905452325	3.920357569
37	3.789188948	3.804442623
38	3.67577367	3.691231123
39	3.566013357	3.581933359
40	3.459253981	3.475577478
41	3.355669945	3.372131072
42	3.255366735	3.272295706
43	3.158632738	3.175954736
44	3.064507533	3.082342278
45	2.973165738	2.991527516
46	2.8846199	2.903444752
47	2.798640046	2.818036584
48	2.715249637	2.735221378
49	2.633871109	2.654292345
50	2.555417639	2.576442814
51	2.479621513	2.501104417
52	2.40568857	2.427798047
53	2.333954879	2.356558272
54	2.2647593	2.288018796
55	2.197457316	2.221395198
56	2.131417876	2.155655499
57	2.067629476	2.092210979
58	2.005989755	2.031258118
59	1.946316131	1.972344458
60	1.888455747	1.915036301
61	1.832697154	1.860001389
62	1.778244141	1.806331222
63	1.725245914	1.754072711
64	1.673922439	1.703616875
65	1.624260987	1.654786432
66	1.576004216	1.607429961
67	1.52951587	1.561624388
68	1.483759487	1.516429341
69	1.44004602	1.473513581
70	1.396976512	1.430970849
71	1.355613466	1.390545623
72	1.314878644	1.350081844
73	1.27616597	1.312004786
74	1.23863735	1.275293768
75	1.202271112	1.239794
76	1.166667511	1.204650643
77	1.131954692	1.170494875
78	1.098793101	1.138067627
79	1.066491068	1.106560506
