iter	Passed	Remaining
0	22	441027
1	37	368808
2	45	299449
3	53	261853
4	60	237952
5	67	219786
6	72	203315
7	78	193452
8	84	183342
9	89	175611
10	95	170837
11	100	165107
12	105	159768
13	111	156854
14	117	153006
15	122	149891
16	128	148561
17	134	146351
18	141	146521
19	147	144978
20	153	143366
21	160	142755
22	165	141435
23	170	139666
24	177	139013
25	182	137592
26	187	136104
27	193	135518
28	200	135353
29	208	135958
30	215	136115
31	223	136882
32	230	136689
33	236	136053
34	242	136042
35	250	136359
36	259	137320
37	268	138265
38	275	138377
39	282	138286
40	289	138201
41	295	138005
42	302	137826
43	310	138298
44	317	138376
45	324	138226
46	330	137783
47	335	136929
48	342	136733
49	347	136095
50	352	135404
51	358	135019
52	363	134401
53	369	133811
54	375	133497
55	380	132974
56	385	132482
57	391	132104
58	396	131574
59	401	131040
60	407	130662
61	412	130226
62	418	129845
63	423	129504
64	428	129048
65	434	128800
66	439	128384
67	444	127969
68	450	127650
69	455	127262
70	460	126843
71	465	126485
72	470	126106
73	475	125733
74	481	125419
75	486	125119
76	492	125059
77	499	125329
78	507	125559
79	513	125411
80	519	125276
81	524	125011
82	529	124752
83	535	124525
84	540	124231
85	545	123900
86	550	123668
87	555	123441
88	561	123226
89	566	123058
90	572	122930
91	577	122724
92	583	122596
93	588	122364
94	593	122103
95	599	121998
96	604	121809
97	610	121672
98	617	121742
99	622	121664
100	627	121429
101	633	121286
102	639	121190
103	644	121018
104	649	120861
105	654	120623
106	659	120413
107	665	120221
108	670	120083
109	676	120038
110	683	120128
111	690	120350
112	697	120548
113	705	120816
114	712	120928
115	719	121095
116	726	121206
117	734	121389
118	739	121241
119	744	121089
120	750	120952
121	755	120785
122	760	120573
123	765	120449
124	771	120465
125	777	120427
126	783	120299
127	788	120213
128	794	120068
129	799	119944
130	804	119784
131	809	119602
132	815	119496
133	820	119311
134	824	119138
135	830	119016
136	835	118892
137	840	118722
138	845	118576
139	850	118402
140	855	118209
141	860	118045
142	864	117871
143	869	117726
144	874	117585
145	880	117477
146	885	117328
147	890	117179
148	895	117046
149	900	116903
150	904	116745
151	909	116613
152	914	116461
153	919	116331
154	925	116243
155	930	116178
156	935	116046
157	940	115903
158	946	115890
159	951	115794
160	956	115685
161	961	115605
162	967	115501
163	972	115475
164	978	115443
165	984	115498
166	991	115509
167	998	115633
168	1003	115610
169	1009	115605
170	1016	115664
171	1022	115654
172	1029	115763
173	1035	115749
174	1042	115862
175	1049	116021
176	1055	115970
177	1061	116027
178	1067	116020
179	1074	116070
180	1080	116130
181	1086	116065
182	1092	116066
183	1098	116104
184	1104	116052
185	1110	116121
186	1117	116156
187	1123	116141
188	1129	116193
189	1135	116169
190	1141	116149
191	1147	116225
192	1153	116177
193	1160	116227
194	1166	116255
195	1172	116232
196	1183	116794
197	1190	116856
198	1197	116938
199	1203	116924
200	1209	116906
201	1214	116801
202	1219	116692
203	1224	116633
204	1229	116539
205	1234	116439
206	1239	116346
207	1245	116341
208	1251	116325
209	1257	116257
210	1261	116147
211	1267	116091
212	1272	116013
213	1278	115977
214	1283	115911
215	1288	115848
216	1294	115786
217	1299	115703
218	1304	115623
219	1309	115559
220	1314	115485
221	1320	115445
222	1326	115408
223	1331	115336
224	1336	115266
225	1341	115211
226	1346	115132
227	1351	115045
228	1356	114967
229	1362	114894
230	1367	114814
231	1372	114736
232	1377	114649
233	1382	114562
234	1387	114478
235	1392	114403
236	1396	114309
237	1401	114223
238	1406	114131
239	1411	114032
240	1416	113938
241	1421	113869
242	1426	113777
243	1430	113692
244	1436	113655
245	1441	113568
246	1446	113480
247	1451	113410
248	1455	113326
249	1460	113240
250	1465	113189
251	1471	113129
252	1475	113035
253	1480	112952
254	1486	112963
255	1493	113059
256	1499	113031
257	1504	112970
258	1509	112900
259	1514	112816
260	1519	112758
261	1524	112673
262	1528	112585
263	1533	112508
264	1538	112459
265	1543	112395
266	1548	112328
267	1553	112258
268	1558	112208
269	1563	112135
270	1568	112081
271	1574	112026
272	1579	111966
273	1584	111963
274	1591	112029
275	1598	112127
276	1606	112253
277	1613	112353
278	1620	112434
279	1628	112531
280	1636	112658
281	1642	112695
282	1648	112672
283	1653	112655
284	1658	112602
285	1664	112553
286	1669	112510
287	1674	112454
288	1679	112390
289	1684	112327
290	1689	112271
291	1694	112216
292	1699	112175
293	1704	112100
294	1709	112050
295	1715	112073
296	1720	112030
297	1725	111971
298	1730	111911
299	1736	111862
300	1741	111811
301	1746	111759
302	1751	111723
303	1756	111666
304	1761	111603
305	1766	111554
306	1771	111493
307	1776	111430
308	1781	111371
309	1785	111311
310	1791	111269
311	1796	111213
312	1802	111223
313	1807	111224
314	1812	111171
315	1818	111137
316	1823	111083
317	1828	111023
318	1833	110970
319	1838	110925
320	1843	110878
321	1848	110833
322	1853	110769
323	1857	110708
324	1862	110662
325	1867	110616
326	1872	110551
327	1877	110502
328	1882	110453
329	1887	110398
330	1892	110349
331	1897	110303
332	1902	110262
333	1907	110209
334	1912	110157
335	1917	110105
336	1922	110056
337	1927	110010
338	1932	109974
339	1937	109928
340	1942	109889
341	1949	109953
342	1954	109917
343	1959	109875
344	1964	109834
345	1969	109779
346	1974	109727
347	1979	109693
348	1984	109653
349	1989	109599
350	1994	109562
351	1999	109515
352	2004	109464
353	2009	109419
354	2014	109379
355	2019	109328
356	2023	109269
357	2028	109226
358	2033	109178
359	2038	109134
360	2043	109094
361	2048	109045
362	2053	108991
363	2058	108943
364	2063	108896
365	2067	108843
366	2072	108795
367	2077	108755
368	2082	108715
369	2087	108673
370	2092	108635
371	2097	108591
372	2102	108545
373	2107	108519
374	2112	108496
375	2118	108476
376	2123	108434
377	2128	108394
378	2133	108353
379	2138	108312
380	2143	108275
381	2147	108235
382	2152	108185
383	2157	108143
384	2162	108105
385	2167	108056
386	2181	108472
387	2187	108496
388	2193	108511
389	2199	108516
390	2205	108516
391	2210	108489
392	2215	108444
393	2220	108397
394	2224	108354
395	2229	108317
396	2236	108351
397	2243	108401
398	2249	108433
399	2255	108439
400	2260	108415
401	2265	108369
402	2270	108322
403	2275	108302
404	2280	108271
405	2285	108227
406	2290	108186
407	2295	108164
408	2300	108119
409	2305	108075
410	2310	108034
411	2315	107998
412	2319	107955
413	2324	107918
414	2330	107891
415	2334	107851
416	2340	107837
417	2345	107823
418	2350	107795
419	2355	107754
420	2360	107724
421	2365	107687
422	2370	107661
423	2376	107640
424	2381	107604
425	2385	107560
426	2390	107533
427	2395	107492
428	2400	107461
429	2405	107432
430	2410	107394
431	2415	107354
432	2420	107314
433	2425	107274
434	2430	107234
435	2434	107191
436	2439	107160
437	2444	107119
438	2449	107075
439	2454	107049
440	2459	107027
441	2464	106990
442	2469	106961
443	2478	107121
444	2485	107154
445	2491	107178
446	2497	107173
447	2502	107152
448	2507	107119
449	2512	107083
450	2516	107042
451	2521	107009
452	2526	106967
453	2531	106931
454	2536	106900
455	2541	106867
456	2546	106841
457	2551	106807
458	2557	106803
459	2561	106772
460	2566	106735
461	2571	106701
462	2576	106666
463	2581	106638
464	2588	106703
465	2595	106756
466	2603	106824
467	2610	106880
468	2616	106922
469	2623	106949
470	2629	106984
471	2636	107024
472	2643	107050
473	2648	107038
474	2655	107077
475	2660	107076
476	2665	107043
477	2670	107013
478	2675	106990
479	2680	106956
480	2685	106930
481	2690	106895
482	2695	106862
483	2700	106828
484	2705	106798
485	2710	106765
486	2715	106727
487	2719	106695
488	2724	106669
489	2729	106635
490	2734	106603
491	2739	106567
492	2744	106546
493	2749	106520
494	2754	106494
495	2759	106465
496	2764	106430
497	2769	106396
498	2774	106365
499	2778	106329
500	2783	106301
501	2788	106270
502	2793	106237
503	2798	106205
504	2803	106174
505	2808	106140
506	2813	106108
507	2818	106087
508	2823	106067
509	2828	106039
510	2833	106019
511	2838	106008
512	2843	105982
513	2848	105953
514	2853	105927
515	2858	105892
516	2863	105855
517	2868	105829
518	2873	105801
519	2877	105768
520	2882	105744
521	2887	105709
522	2892	105683
523	2897	105655
524	2902	105625
525	2907	105593
526	2912	105561
527	2916	105536
528	2921	105505
529	2926	105474
530	2932	105466
531	2937	105447
532	2942	105420
533	2947	105398
534	2953	105421
535	2958	105397
536	2964	105393
537	2970	105412
538	2977	105454
539	2984	105512
540	2990	105522
541	2995	105506
