iter	Accuracy	MultiClass
0	0.7307914601	1.074463402
1	0.7336812792	1.05236017
2	0.7366411545	1.031678983
3	0.7386027287	1.011801684
4	0.739671086	0.9931853708
5	0.7386552709	0.9756027442
6	0.739986339	0.9592587717
7	0.739986339	0.9439901368
8	0.7408445277	0.9294950612
9	0.7413349213	0.9155075305
10	0.7424558208	0.9023500272
11	0.7434015798	0.8900079966
12	0.7432264392	0.8781956812
13	0.7428586441	0.8669603604
14	0.743156383	0.8562502394
15	0.7435767203	0.8461882976
16	0.7440320857	0.8365817365
17	0.743804403	0.8273660976
18	0.7446625917	0.8187602213
19	0.7440495998	0.8101424913
20	0.7448552463	0.8018890392
21	0.7452755837	0.7943046132
22	0.7457484631	0.786834466
23	0.746343941	0.7794881214
24	0.7459936599	0.7728212409
25	0.746343941	0.7661414774
26	0.7460987442	0.759692428
27	0.7464665394	0.7539275425
28	0.7462563707	0.7482540833
29	0.7469043908	0.7426475617
30	0.7473947843	0.7371129048
31	0.7479026919	0.7318994098
32	0.7485857401	0.7269465109
33	0.7493563585	0.7222953425
34	0.7496540974	0.7176741199
35	0.7500218926	0.71350982
36	0.7504247158	0.7094212322
37	0.7503896877	0.7051569404
38	0.7513529608	0.701106158
39	0.7516156716	0.6972293506
40	0.751755784	0.6935404874
41	0.7518783824	0.6900685118
42	0.7523162338	0.6866649104
43	0.7527891133	0.6834034753
44	0.752719057	0.6804578266
45	0.7532094506	0.6773709707
46	0.7529992819	0.6743795733
47	0.753349563	0.6713534364
48	0.7538924987	0.668640336
49	0.754628089	0.6657531099
50	0.7546456031	0.6631391962
51	0.7542077517	0.6607217627
52	0.7548207436	0.6582269539
53	0.7546456031	0.655915961
54	0.7548907999	0.6537010509
55	0.755241081	0.6512475318
56	0.7553111372	0.6487240081
57	0.7554337356	0.6465393679
58	0.7560116994	0.6444330103
59	0.7563444664	0.6420350008
60	0.7562744102	0.6401513587
61	0.7564845789	0.6381602046
62	0.7565020929	0.6359821495
63	0.7569574584	0.6342219909
64	0.7570450286	0.6324188751
65	0.7573777957	0.6307361419
66	0.7579557595	0.6289420103
67	0.7579557595	0.6270873261
68	0.7581659282	0.6252401509
69	0.759391912	0.6237632657
70	0.7594794823	0.6219799831
71	0.7598647915	0.620380419
72	0.7601275023	0.6182740471
73	0.760968177	0.6167996839
74	0.7612133737	0.6149839252
75	0.7617387954	0.6133636634
76	0.7621416186	0.6119422383
77	0.7622992451	0.6105910064
78	0.7623342733	0.60898626
79	0.7627721246	0.6077280324
80	0.762877209	0.6061463859
81	0.7635077149	0.6044811139
82	0.763857996	0.6025754626
83	0.7638229679	0.6013205243
84	0.7639805944	0.6000793161
85	0.7641031928	0.5990155849
86	0.7645585582	0.5976403666
87	0.7652240923	0.5965137411
88	0.7653116626	0.5955100301
89	0.7653116626	0.5945794375
90	0.7657319999	0.5936222274
91	0.7659947108	0.5925454202
92	0.766082281	0.5913664733
93	0.7660122248	0.5902634457
94	0.7662399075	0.589238026
95	0.7665551605	0.5882770101
96	0.7667303011	0.5873605833
97	0.7670455541	0.5862936612
98	0.7675184335	0.585323124
99	0.7675884898	0.584495451
100	0.7680613692	0.5834523377
101	0.7682365098	0.5825575074
102	0.7687969596	0.5818128313
103	0.7692873531	0.5808860542
104	0.7696901764	0.5802234589
105	0.7704958229	0.5793434607
106	0.7710737867	0.5785734009
107	0.77147661	0.5775945886
108	0.7712664413	0.5768795591
109	0.7715641803	0.576174236
110	0.7714590959	0.5753387238
111	0.7717218067	0.5743868713
112	0.7722822565	0.5737121237
113	0.7722997706	0.5729511531
114	0.7725449673	0.572031679
115	0.7725449673	0.57122177
116	0.7725975095	0.5705533292
117	0.7727901641	0.569578469
118	0.7730178468	0.5687538447
119	0.7731754733	0.5681975858
120	0.7730353609	0.5675582438
121	0.7731929874	0.5667865217
122	0.7732105014	0.5661163991
123	0.7736133247	0.5653246162
124	0.7736308387	0.5647451811
125	0.7738935496	0.5642546957
126	0.7741212323	0.5637620973
127	0.7744890274	0.563080873
128	0.7745590837	0.5625519266
129	0.7749093648	0.5617961632
130	0.7751545615	0.5611411235
131	0.7754873286	0.5605236919
132	0.7759952362	0.5596022318
133	0.7763280032	0.5590008404
134	0.7765206578	0.5583216168
135	0.776590714	0.5577702907
136	0.7766782843	0.5570982403
137	0.7773263044	0.5563961226
138	0.7776065292	0.5555028491
139	0.7783070914	0.5547285578
140	0.7783246055	0.5541144544
141	0.7789901396	0.5534573784
142	0.7788850553	0.5529577777
143	0.7789551115	0.5524140799
144	0.7789200834	0.551740005
145	0.7791827942	0.5511854712
146	0.779743244	0.5506366194
147	0.7802336375	0.549819935
148	0.7802511515	0.5492252543
149	0.780408778	0.548496196
150	0.7806364608	0.5478019448
151	0.7808291154	0.5471646012
152	0.7815296776	0.546742384
153	0.7815997338	0.5462959494
154	0.7818099024	0.545827346
155	0.7820375852	0.5454322215
156	0.7821426695	0.5447902464
157	0.7827556614	0.5442654018
158	0.7823528382	0.5437568503
159	0.7823703522	0.5433625748
160	0.7824929506	0.5429420946
161	0.7825980349	0.5424387472
162	0.7828607457	0.5420282703
163	0.7831759987	0.5413659898
164	0.783578822	0.5409732817
165	0.7838065047	0.5405579957
166	0.784209328	0.5401579875
167	0.7843844685	0.5398006985
168	0.7845070669	0.5393902863
169	0.7846296653	0.5389543891
170	0.7847522637	0.5385092818
171	0.7852251432	0.5378509968
172	0.7852776853	0.5375903818
173	0.7854353118	0.5372084323
174	0.785487854	0.5366388921
175	0.7855754243	0.5363664949
176	0.7856980227	0.5359541406
177	0.785803107	0.5355364511
178	0.786135874	0.5351131205
179	0.7866262676	0.5346057171
180	0.7865737254	0.5342709798
181	0.7865912395	0.5338904009
182	0.786748866	0.5336531863
183	0.7868364362	0.5331654712
184	0.787064119	0.5327114791
185	0.7873618579	0.5323744834
186	0.7877646812	0.5318949404
187	0.7878172233	0.5315515015
188	0.7878697655	0.5312158449
189	0.7877821952	0.5306300673
190	0.7878347374	0.5302579199
191	0.7879223077	0.5298922629
192	0.7880624201	0.5295016503
193	0.7882375606	0.5292209563
194	0.7885352996	0.5287304085
195	0.7888155245	0.5282756377
196	0.7888505526	0.5279709465
197	0.7891132634	0.5275647539
198	0.7894460304	0.5272828706
199	0.7896737132	0.5269088782
200	0.7898138256	0.5266273549
201	0.7902341629	0.5262254627
202	0.7904268175	0.5257508443
203	0.7904268175	0.5254052275
