iter	Passed	Remaining
0	371	2596810
1	689	2413402
2	1013	2364719
3	1356	2371953
4	1688	2361569
5	2014	2348378
6	2351	2349499
7	2698	2358126
8	3063	2379444
9	3416	2388039
10	3783	2403718
11	4138	2409880
12	4506	2422092
13	4885	2437671
14	5308	2472186
15	5645	2464411
16	5990	2460529
17	6346	2461650
18	6715	2467515
19	7103	2479163
20	7488	2488667
21	7872	2496967
22	8258	2505249
23	8693	2526888
24	9076	2532349
25	9413	2525086
26	9773	2524156
27	10120	2520069
28	10482	2519892
29	10856	2522307
30	11272	2534028
31	11635	2533648
32	12022	2538258
33	12413	2543326
34	12800	2547376
35	13192	2551924
36	13594	2558341
37	13995	2564081
38	14442	2577803
39	14808	2576650
40	15199	2579899
41	15635	2590249
42	15976	2584890
43	16342	2583614
44	16770	2591992
45	17109	2586467
46	17465	2583713
47	17830	2582415
48	18214	2583788
49	18603	2585888
50	19038	2594065
51	19377	2589082
52	19746	2588299
53	20139	2590521
54	20530	2592410
55	20924	2594596
56	21329	2598104
57	21734	2601405
58	22132	2603717
59	22532	2606204
60	22988	2615018
61	23363	2614473
62	23760	2616312
63	24199	2622598
64	24588	2623398
65	25027	2629440
66	25377	2625987
67	25763	2626313
68	26156	2627359
69	26556	2629116
70	26953	2630410
71	27368	2633462
72	27786	2636717
73	28222	2641500
74	28649	2645314
75	29108	2651914
76	29474	2650016
77	29923	2655562
78	30303	2654792
79	30720	2657295
80	31134	2659528
81	31558	2662470
82	31980	2665209
83	32405	2668091
84	32872	2674314
85	33274	2675113
86	33733	2680452
87	34096	2678135
88	34498	2678836
89	34912	2680515
90	35372	2685559
91	35741	2683725
92	36148	2684727
93	36571	2686802
94	36994	2688934
95	37415	2690795
96	37838	2692762
97	38310	2698136
98	38772	2702691
99	39163	2702301
100	39574	2703239
101	39995	2704823
102	40416	2706333
103	40842	2708167
104	41303	2712235
105	41697	2711892
106	42115	2713114
107	42539	2714676
108	43015	2719418
109	43419	2719649
110	43846	2721256
111	44278	2723106
112	44709	2724895
113	45140	2726630
114	45631	2731952
115	46035	2731958
116	46465	2733498
117	46901	2735376
118	47344	2737630
119	47830	2742274
120	48244	2742778
121	48696	2745382
122	49182	2749826
123	49596	2750191
124	50019	2751096
125	50441	2751881
126	50936	2756589
127	51351	2756934
128	51780	2758021
129	52222	2759777
130	52658	2761170
131	53163	2766130
132	53614	2768177
133	54080	2771027
134	54595	2776273
135	55031	2777490
136	55485	2779550
137	55960	2782603
138	56481	2787899
139	56921	2789166
140	57370	2790834
141	57841	2793500
142	58347	2797838
143	58784	2798809
144	59280	2802542
145	59708	2803025
146	60160	2804618
147	60613	2806222
148	61070	2808010
149	61530	2809893
150	61987	2811588
151	62498	2815742
152	62999	2819324
153	63422	2819410
154	63908	2822274
155	64329	2822259
156	64772	2823164
157	65216	2824136
158	65672	2825557
159	66127	2826959
160	66576	2828059
161	67035	2829540
162	67545	2833189
163	67993	2834178
164	68450	2835513
165	68907	2836847
166	69425	2840627
167	69858	2840927
168	70303	2841667
169	70757	2842782
170	71216	2844079
171	71676	2845372
172	72144	2846981
173	72663	2850570
174	73123	2851805
175	73588	2853214
176	74060	2854868
177	74585	2858561
178	75095	2861600
179	75522	2861458
180	76018	2863926
181	76439	2863548
182	76883	2863997
183	77332	2864664
184	77783	2865359
185	78241	2866316
186	78701	2867357
187	79177	2868918
188	79647	2870246
189	80120	2871677
190	80642	2874834
191	81125	2876568
192	81597	2877885
193	82032	2877890
194	82483	2878462
195	82940	2879221
196	83407	2880313
197	83871	2881293
198	84355	2882922
199	84833	2884335
200	85310	2885712
201	85784	2886930
202	86323	2890364
203	86783	2891072
204	87259	2892323
205	87794	2895500
206	88310	2898040
207	88747	2897938
208	89212	2898777
209	89680	2899673
210	90146	2900489
211	90668	2903105
212	91112	2903203
213	91583	2904139
214	92068	2905522
215	92547	2906664
216	93014	2907438
217	93481	2908209
218	93960	2909330
219	94492	2912094
220	94962	2912889
221	95497	2915687
222	95976	2916723
223	96422	2916778
224	96878	2917117
225	97347	2917850
226	97820	2918681
227	98294	2919525
228	98772	2920485
229	99257	2921631
230	99814	2924853
231	100266	2925016
232	100734	2925615
233	101219	2926708
234	101769	2929661
235	102231	2930067
236	102705	2930781
237	103244	2933348
238	103665	2932571
239	104137	2933197
240	104605	2933731
241	105135	2935977
242	105618	2936884
243	106098	2937698
244	106581	2938611
245	107073	2939729
246	107609	2942043
247	108084	2942696
248	108574	2943732
249	109126	2946414
250	109568	2946117
251	110040	2946649
252	110525	2947493
253	111059	2949647
254	111530	2950088
255	112015	2950915
256	112505	2951850
257	112989	2952614
258	113535	2954991
259	114040	2956287
260	114478	2955828
261	114941	2956020
262	115417	2956543
263	115944	2958352
264	116395	2958199
265	116874	2958781
266	117357	2959431
267	117851	2960356
268	118357	2961565
269	118843	2962288
270	119352	2963562
271	119922	2966329
272	120373	2966128
273	120896	2967698
274	121465	2970390
275	121909	2970006
276	122391	2970534
277	122877	2971153
278	123358	2971652
279	123900	2973610
280	124340	2973113
281	124798	2973032
282	125268	2973238
283	125777	2974361
284	126270	2975104
285	126776	2976134
286	127272	2976931
287	127760	2977523
288	128306	2979461
289	128769	2979465
290	129278	2980518
291	129786	2981525
292	130284	2982306
293	130831	2984214
294	131337	2985155
295	131840	2986013
296	132281	2985473
297	132738	2985290
298	133206	2985336
299	133681	2985561
300	134174	2986152
301	134657	2986545
302	135143	2986989
303	135635	2987545
304	136133	2988245
305	136708	2990608
306	137203	2991221
307	137736	2992636
308	138194	2992418
309	138672	2992634
310	139179	2993476
311	139662	2993786
312	140215	2995604
313	140718	2996308
314	141150	2995518
315	141617	2995473
316	142090	2995563
317	142590	2996184
318	143079	2996605
319	143644	2998570
320	144120	2998687
321	144630	2999502
322	145116	2999832
323	145608	3000251
324	146127	3001236
325	146646	3002213
326	147203	3003935
327	147670	3003829
328	148154	3004077
329	148659	3004727
330	149187	3005840
331	149773	3008102
332	150304	3009247
333	150735	3008393
334	151199	3008184
335	151756	3009847
336	152242	3010061
337	152740	3010523
338	153246	3011142
339	153742	3011546
340	154237	3011931
341	154795	3013523
342	155258	3013274
343	155753	3013645
344	156272	3014470
345	156822	3015878
346	157317	3016233
347	157791	3016178
348	158307	3016923
349	158772	3016686
350	159258	3016831
351	159747	3017042
352	160233	3017200
353	160730	3017547
354	161245	3018250
355	161750	3018744
356	162295	3019970
357	162751	3019545
358	163256	3020024
359	163821	3021601
360	164359	3022659
361	164821	3022335
362	165316	3022612
363	165832	3023255
364	166333	3023622
365	166843	3024157
366	167367	3024929
367	167898	3025827
368	168398	3026160
369	168955	3027501
370	169455	3027812
371	170009	3029102
372	170465	3028611
373	170969	3028995
374	171472	3029348
375	171981	3029800
376	172488	3030208
377	173058	3031731
378	173548	3031824
379	174056	3032247
380	174671	3034508
381	175150	3034411
382	175648	3034630
383	176172	3035300
384	176739	3036710
385	177203	3036336
386	177709	3036675
387	178210	3036924
388	178740	3037673
389	179253	3038109
390	179764	3038524
391	180353	3040252
392	180898	3041213
393	181453	3042339
394	181899	3041640
395	182397	3041806
396	182905	3042131
397	183421	3042586
398	183956	3043358
399	184459	3043584
400	185031	3044948
401	185518	3044898
402	186068	3045887
403	186522	3045295
404	187014	3045337
405	187534	3045813
406	188058	3046367
407	188564	3046615
408	189134	3047878
409	189613	3047689
410	190111	3047790
411	190613	3047966
412	191130	3048365
413	191642	3048684
414	192242	3050400
415	192799	3051429
416	193266	3051010
417	193757	3050977
418	194282	3051491
419	194798	3051843
420	195297	3051927
421	195813	3052283
422	196319	3052462
423	196902	3053845
424	197437	3054481
425	197942	3054638
426	198432	3054555
427	198928	3054571
428	199449	3054966
429	199978	3055484
430	200507	3056000
431	201041	3056575
432	201578	3057202
433	202177	3058748
434	202732	3059636
435	203279	3060382
436	203753	3060036
437	204226	3059667
438	204746	3060011
439	205266	3060329
440	205767	3060389
441	206312	3061079
442	206893	3062308
443	207421	3062739
444	207962	3063354
445	208495	3063862
446	209032	3064401
447	209614	3065610
448	210083	3065162
449	210599	3065388
450	211142	3066017
451	211728	3067259
452	212237	3067377
453	212765	3067761
454	213346	3068905
455	213826	3068599
456	214335	3068700
457	214903	3069652
458	215382	3069319
459	215880	3069251
460	216412	3069678
461	216919	3069745
462	217493	3070740
463	217976	3070456
464	218480	3070473
465	219068	3071659
466	219541	3071227
467	220040	3071161
468	220547	3071207
469	221139	3072425
470	221613	3072006
471	222123	3072079
472	222661	3072534
473	223179	3072716
474	223774	3073958
475	224261	3073701
476	224763	3073651
477	225357	3074853
478	225837	3074501
479	226347	3074551
480	226915	3075394
481	227386	3074903
482	227882	3074756
483	228398	3074879
484	228915	3075024
485	229459	3075512
486	230046	3076576
487	230497	3075813
488	231101	3077101
489	231571	3076595
490	232069	3076450
491	232571	3076373
492	233095	3076579
493	233639	3077046
494	234245	3078322
495	234729	3077980
496	235205	3077550
497	235749	3078004
498	236285	3078334
499	236866	3079265
500	237337	3078751
501	237865	3078984
502	238400	3079301
503	238943	3079714
504	239483	3080093
505	240061	3080945
506	240617	3081514
507	241124	3081457
508	241613	3081169
509	242135	3081296
510	242725	3082284
511	243196	3081760
512	243691	3081534
513	244232	3081886
514	244768	3082177
515	245385	3083485
516	245884	3083305
517	246411	3083471
518	246977	3084122
519	247548	3084830
520	248073	3084971
521	248608	3085228
522	249222	3086450
523	249746	3086566
524	250285	3086851
525	250874	3087765
526	251388	3087732
527	251924	3087982
528	252461	3088240
529	252982	3088292
530	253519	3088549
531	254128	3089664
532	254634	3089536
533	255176	3089834
534	255731	3090286
535	256315	3091091
536	256802	3090719
537	257504	3092923
538	258052	3093273
539	258522	3092693
540	259010	3092324
541	259521	3092237
542	260048	3092321
543	260642	3093217
544	261120	3092723
545	261607	3092331
546	262127	3092339
547	262637	3092223
548	263151	3092153
549	263758	3093166
550	264272	3093088
551	264765	3092771
552	265347	3093484
553	265823	3092952
554	266353	3093055
555	266890	3093239
556	267414	3093273
557	267974	3093710
558	268499	3093748
559	269116	3094837
560	269605	3094457
561	270170	3094943
562	270663	3094599
563	271173	3094457
564	271713	3094647
565	272265	3094970
566	272814	3095269
567	273393	3095888
568	273893	3095617
569	274420	3095654
570	274964	3095881
571	275554	3096621
572	276097	3096820
573	276582	3096380
574	277087	3096148
575	277637	3096429
576	278213	3096989
577	278740	3097004
578	279246	3096793
579	279802	3097128
580	280350	3097364
581	280875	3097349
582	281424	3097600
583	282019	3098348
584	282597	3098908
585	283094	3098581
586	283616	3098521
587	284151	3098599
588	284704	3098884
589	285249	3099064
590	285846	3099815
591	286341	3099454
592	286913	3099923
593	287528	3100850
594	288028	3100540
595	288558	3100547
596	289091	3100595
597	289621	3100591
598	290173	3100837
599	290754	3101386
600	291250	3101017
601	291789	3101113
602	292318	3101097
603	292902	3101660
604	293474	3102099
605	293953	3101548
606	294474	3101442
607	295008	3101475
608	295615	3102263
609	296188	3102697
610	296654	3102003
611	297159	3101722
612	297667	3101476
613	298251	3102012
614	298753	3101695
615	299268	3101509
616	299786	3101357
617	300383	3102023
